
[2026-06-16 03:04:01,753] [INFO] [Main] MT5 disconnected. VvE FxBOT stopped.
[2026-06-16 03:04:47,726] [INFO] [Main] ============================================================
[2026-06-16 03:04:47,726] [INFO] [Main] VvE FxBOT Phase 1 starting...
[2026-06-16 03:04:47,726] [INFO] [Main] ============================================================
[2026-06-16 03:04:47,728] [INFO] [Main] Config loaded successfully.
[2026-06-16 03:04:47,729] [INFO] [Main] StateEngine initialised.
[2026-06-16 03:04:47,736] [INFO] [MT5Connector] MT5 attached successfully (already logged in): ********
[2026-06-16 03:04:47,736] [INFO] [MT5Connector] Pre-loading historical data for all pairs and all required timeframes. This may take a few seconds...
[2026-06-16 03:04:50,740] [INFO] [MT5Connector] Historical data pre-load complete for all timeframes (D1/H4/H1/M15/M1).
[2026-06-16 03:04:50,743] [INFO] [Main] SessionEngine initialised.
[2026-06-16 03:04:50,744] [INFO] [Main] CorrelationFilter initialised.
[2026-06-16 03:04:50,746] [INFO] [Main] VaultEngine initialised.
[2026-06-16 03:04:50,747] [INFO] [Main] RiskEngine initialised.
[2026-06-16 03:04:53,435] [INFO] [GoogleSheetReporter] Successfully connected to main Google Sheet.
[2026-06-16 03:04:55,481] [INFO] [Main] TradeManager initialised.
[2026-06-16 03:04:55,481] [INFO] [Main] ExecutionEngine initialised.
[2026-06-16 03:04:55,483] [INFO] [TelegramBridge] Telegram polling thread started.
[2026-06-16 03:04:55,485] [INFO] [TelegramBridge] Telegram cleanup thread started.
[2026-06-16 03:04:55,485] [INFO] [Main] TelegramBridge listener started.
[2026-06-16 03:04:55,489] [INFO] [TradeManager] TradeManager monitoring thread started.
[2026-06-16 03:04:55,489] [INFO] [Main] TradeManager monitoring thread started.
[2026-06-16 03:04:55,499] [INFO] [Main] [Main] Strategy mode: ZGMT
[2026-06-16 03:04:55,499] [INFO] [Main] [Main] Enabled scanners: ScannerZGMT
[2026-06-16 03:04:55,503] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:04:55,503] [INFO] [Main] Heartbeat thread started (60s interval).
[2026-06-16 03:04:55,506] [INFO] [SessionEngine] SESSION | IST: 03:04:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:04:55,506] [INFO] [Main] Session monitor thread started (60s interval).
[2026-06-16 03:04:55,508] [INFO] [Main] EOD Vault monitor thread started.
[2026-06-16 03:04:55,509] [INFO] [Main] All systems online. Starting main scan loop.
[2026-06-16 03:05:55,506] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:05:55,507] [INFO] [SessionEngine] SESSION | IST: 03:05:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:06:55,509] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:06:55,509] [INFO] [SessionEngine] SESSION | IST: 03:06:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:07:55,510] [INFO] [SessionEngine] SESSION | IST: 03:07:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:07:55,511] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:08:55,511] [INFO] [SessionEngine] SESSION | IST: 03:08:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:08:55,513] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:09:55,512] [INFO] [SessionEngine] SESSION | IST: 03:09:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:09:55,514] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:10:55,512] [INFO] [SessionEngine] SESSION | IST: 03:10:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:10:55,516] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:11:55,513] [INFO] [SessionEngine] SESSION | IST: 03:11:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:11:55,517] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:12:55,513] [INFO] [SessionEngine] SESSION | IST: 03:12:55 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:12:55,519] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:13:56,762] [INFO] [SessionEngine] SESSION | IST: 03:13:56 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:13:56,769] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:14:56,762] [INFO] [SessionEngine] SESSION | IST: 03:14:56 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:14:56,770] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:15:56,763] [INFO] [SessionEngine] SESSION | IST: 03:15:56 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:15:56,772] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
[2026-06-16 03:16:56,763] [INFO] [SessionEngine] SESSION | IST: 03:16:56 | Session: Asia | KZ: None | Avoid: False
[2026-06-16 03:16:56,773] [INFO] [Main] HEARTBEAT | MT5: connected | Balance: 99.58
